Component	CO2 	 CH4	N2O	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	H-1202	C3F8	C4F10	C5F12	C7F16	C8F18	cC4F8	SO2F2	HFC236fa	HFC152a	HFC365mfc	CH2Cl2	CHCl3	CH3Cl	NF3 
Unit 	 ppm	ppb	ppb	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total
Reference	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	No data	igcc_historical	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	igcc_historical	No data	igcc_historical	igcc_historical	No data	igcc_historical	No data	No data	igcc_historical	igcc_historical	No data	igcc_historical	No data	No data	No data	igcc_historical	igcc_historical	igcc_historical	igcc_historical
1788	281.116018	758.992000	270.860000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911049	4.800000	457.000000	0.000000
1789	281.188075	759.776000	270.880000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911077	4.800000	457.000000	0.000000
1790	281.260132	760.560000	270.900000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911105	4.800000	457.000000	0.000000
1791	281.332189	761.344000	270.920000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911132	4.800000	457.000000	0.000000
1792	281.404246	762.128000	270.940000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911160	4.800000	457.000000	0.000000
1793	281.476303	762.912000	270.960000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911187	4.800000	457.000000	0.000000
1794	281.548360	763.696000	270.980000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911215	4.800000	457.000000	0.000000
1795	281.620417	764.480000	271.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911243	4.800000	457.000000	0.000000
1796	281.692473	765.264000	271.020000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911270	4.800000	457.000000	0.000000
1797	281.764530	766.048000	271.040000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.911298	4.800000	457.000000	0.000000
