Component	CO2 	 CH4	N2O	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	H-1202	C3F8	C4F10	C5F12	C7F16	C8F18	cC4F8	SO2F2	HFC236fa	HFC152a	HFC365mfc	CH2Cl2	CHCl3	CH3Cl	NF3 
Unit 	 ppm	ppb	ppb	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total
Reference	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	No data	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	No data	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical
1781	280.61162028	753.504	270.72	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9108559968	4.8	457.0	0.0
1782	280.68367716	754.288	270.74	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9108836096	4.8	457.0	0.0
1783	280.75573404	755.072	270.76000000000005	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9109112224	4.8	457.0	0.0
1784	280.82779092	755.856	270.78000000000003	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9109388352	4.8	457.0	0.0
1785	280.89984780000003	756.64	270.8	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.910966448	4.8	457.0	0.0
1786	280.97190468	757.424	270.82000000000005	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9109940608	4.8	457.0	0.0
1787	281.04396156	758.2080000000001	270.84000000000003	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9110216736	4.8	457.0	0.0
1788	281.11601844	758.9920000000001	270.86	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9110492864	4.8	457.0	0.0
1789	281.18807532	759.7760000000001	270.88	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9110768992	4.8	457.0	0.0
1790	281.2601322	760.5600000000001	270.90000000000003	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.911104512	4.8	457.0	0.0
1791	281.33218908000003	761.344	270.92	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9111321248	4.8	457.0	0.0
